,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,StudentAbsenceDays,Class,Discussion-Equal-Width-Bin,Discussion-Equal-Frequency-Bin,Discussion-Custom-Binning
0,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.15,0.16161616161616163,2,20,Good,0,M,very low,B,P
1,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.2,0.20202020202020202,3,25,Good,0,M,low,B,P
2,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.1,0.0707070707070707,0,30,Bad,1,L,low,B,P
3,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.3,0.25252525252525254,5,35,Bad,1,L,low,C,P
4,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.4,0.5050505050505051,12,50,Bad,1,M,medium,D,Q
5,F,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.42,0.30303030303030304,13,70,Bad,1,M,high,D,S
6,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.35,0.12121212121212122,0,17,Bad,1,L,very low,B,
7,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.5,0.10101010101010101,15,22,Good,0,M,low,B,P
8,F,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.12,0.21212121212121213,16,50,Good,0,M,medium,D,Q
9,F,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.7,0.8080808080808081,25,70,Good,0,M,high,D,S
10,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.5,0.8888888888888888,30,80,Good,0,H,very high,E,T
11,M,KW,KuwaIT,MiddleSchool,5,B,Math,F,Father,0.19,0.06060606060606061,19,12,Good,0,M,very low,A,
12,M,KW,KuwaIT,lowerlevel,2,A,IT,F,Father,0.05,0.010101010101010102,0,11,Bad,1,L,very low,A,
13,M,lebanon,lebanon,MiddleSchool,6,A,Math,F,Father,0.2,0.1414141414141414,12,19,Bad,1,L,very low,B,P
14,F,KW,KuwaIT,MiddleSchool,6,A,Math,F,Mum,0.62,0.7070707070707071,44,60,Bad,1,H,high,D,R
15,F,KW,KuwaIT,MiddleSchool,4,A,IT,F,Father,0.3,0.40404040404040403,22,66,Good,0,M,high,D,R
16,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.36,0.30303030303030304,20,80,Bad,1,M,very high,E,T
17,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.55,0.13131313131313133,35,90,Bad,1,M,very high,E,T
18,F,KW,KuwaIT,MiddleSchool,5,A,IT,F,Mum,0.46831196581196577,0.15151515151515152,36,96,Good,0,M,very high,E,
19,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Mum,0.7,0.5050505050505051,40,99,Good,0,H,very high,E,
20,F,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.6,0.6060606060606061,33,90,Bad,1,M,very high,E,T
21,F,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.1,0.12121212121212122,4,80,Bad,0,M,very high,E,T
22,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.15,0.21212121212121213,2,90,Bad,0,M,very high,E,T
23,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.02,0.0,2,50,Bad,1,L,medium,D,Q
24,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.0,0.020202020202020204,3,70,Good,1,L,high,D,S
25,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.08,0.0707070707070707,30,40,Good,1,L,low,C,Q
26,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.19,0.1919191919191919,25,40,Bad,0,M,low,C,Q
27,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,F,Father,0.25,0.15151515151515152,12,33,Bad,1,L,low,C,P
28,M,KW,KuwaIT,MiddleSchool,6,A,Science,F,Father,0.75,0.8585858585858586,52,43,Good,0,M,medium,C,Q
29,F,KW,KuwaIT,MiddleSchool,6,A,Arabic,F,Father,0.3,0.9090909090909091,33,35,Bad,0,M,low,C,P
30,F,KW,KuwaIT,MiddleSchool,6,A,Arabic,F,Father,0.35,0.8080808080808081,50,70,Good,0,H,high,D,S
31,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.04,0.050505050505050504,40,16,Good,1,L,very low,B,
32,F,KW,KuwaIT,lowerlevel,5,A,IT,F,Father,0.02,0.1919191919191919,10,50,Good,1,L,medium,D,Q
33,M,KW,KuwaIT,lowerlevel,3,A,English,F,Father,0.08,0.2222222222222222,9,40,Bad,1,L,low,C,Q
34,M,KW,KuwaIT,MiddleSchool,5,B,Science,F,Father,0.12,0.1111111111111111,8,40,Bad,1,L,low,C,Q
36,M,KW,KuwaIT,MiddleSchool,5,B,Science,F,Mum,0.08,0.06060606060606061,4,22,Good,1,L,low,B,P
37,F,Egypt,Egypt,MiddleSchool,5,A,IT,F,Father,0.45,0.5454545454545454,26,90,Good,0,M,very high,E,T
38,M,KW,KuwaIT,MiddleSchool,4,A,IT,F,Father,0.0,0.0,0,4,Bad,1,L,very low,A,
39,F,SaudiArabia,SaudiArabia,MiddleSchool,5,B,Science,F,Father,0.5,0.9090909090909091,37,70,Good,0,M,high,D,S
40,F,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.14,0.13131313131313133,3,70,Bad,1,L,high,D,S
41,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.19,0.20202020202020202,16,50,Good,0,M,medium,D,Q
42,M,KW,KuwaIT,HighSchool,7,A,IT,F,Father,0.1,0.12121212121212122,7,33,Good,1,L,low,C,P
43,F,KW,KuwaIT,HighSchool,7,A,IT,F,Father,0.3,0.35353535353535354,28,90,Good,0,M,very high,E,T
44,F,KW,KuwaIT,HighSchool,7,A,IT,F,Father,0.33,0.3333333333333333,30,90,Bad,0,M,very high,E,T
45,M,KW,KuwaIT,MiddleSchool,5,A,Quran,F,Father,0.2,0.12121212121212122,15,70,Good,1,L,high,D,S
46,M,KW,KuwaIT,lowerlevel,3,A,English,F,Father,0.07,0.10101010101010101,1,30,Bad,1,L,low,B,P
47,F,KW,KuwaIT,HighSchool,10,A,English,F,Mum,0.7,0.04040404040404041,39,90,Good,0,H,very high,E,T
49,F,KW,KuwaIT,HighSchool,10,A,English,F,Father,0.29,0.3939393939393939,50,77,Good,0,M,high,E,T
50,F,KW,KuwaIT,HighSchool,10,A,English,F,Father,0.2,0.1414141414141414,12,70,Bad,1,L,high,D,S
51,M,KW,KuwaIT,HighSchool,10,A,English,F,Father,0.39,0.15151515151515152,16,50,Good,1,L,medium,D,Q
52,F,KW,KuwaIT,HighSchool,10,A,English,F,Father,0.55,0.9090909090909091,16,40,Bad,0,M,low,C,Q
53,F,KW,KuwaIT,HighSchool,9,A,Science,F,Mum,0.49,0.7070707070707071,19,75,Good,0,H,high,E,S
54,M,KW,KuwaIT,HighSchool,10,A,English,F,Mum,0.12,0.5050505050505051,8,30,Bad,1,L,low,B,P
55,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.16,0.1414141414141414,6,20,Good,1,L,very low,B,P
56,M,USA,USA,MiddleSchool,6,B,Math,F,Father,0.19,0.050505050505050504,4,1,Good,1,L,very low,A,
57,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.05,0.020202020202020204,6,5,Good,1,L,very low,A,
58,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.28,0.6060606060606061,19,50,Good,0,M,medium,D,Q
59,F,USA,USA,MiddleSchool,5,A,Math,F,Father,0.27,0.2222222222222222,22,40,Good,0,M,low,C,Q
60,F,Jordan,Jordan,lowerlevel,3,A,English,F,Mum,0.21,0.10101010101010101,28,20,Good,1,L,very low,B,P
61,M,KW,KuwaIT,HighSchool,8,A,IT,F,Father,0.5,0.7070707070707071,32,40,Good,0,M,low,C,Q
62,M,venzuela,venzuela,HighSchool,8,A,IT,F,Mum,0.8,0.9090909090909091,70,80,Good,0,H,very high,E,T
63,M,KW,KuwaIT,HighSchool,8,A,IT,F,Father,0.17,0.13131313131313133,16,12,Bad,0,M,very low,A,
64,M,KW,KuwaIT,HighSchool,8,A,IT,F,Father,0.0,0.050505050505050504,7,2,Bad,1,L,very low,A,
66,F,KW,KuwaIT,HighSchool,10,A,English,F,Father,0.25,0.10101010101010101,19,30,Bad,1,M,low,B,P
67,F,USA,USA,HighSchool,10,A,English,F,Mum,0.65,0.7575757575757576,23,80,Good,0,H,very high,E,T
68,F,USA,USA,HighSchool,10,A,IT,F,Mum,0.7,0.696969696969697,35,30,Good,0,H,low,B,P
69,M,Jordan,Jordan,MiddleSchool,5,A,IT,F,Father,0.39,0.40404040404040403,11,33,Bad,0,M,low,C,P
70,M,Jordan,Jordan,MiddleSchool,5,A,IT,F,Father,0.22,0.30303030303030304,10,12,Good,1,L,very low,A,
71,M,KW,KuwaIT,MiddleSchool,5,A,IT,F,Father,0.29,0.2222222222222222,9,20,Good,0,M,very low,B,P
72,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.11,0.020202020202020204,2,8,Bad,0,L,very low,A,
73,F,KW,KuwaIT,MiddleSchool,5,A,English,F,Father,0.19,0.30303030303030304,26,19,Bad,1,M,very low,B,P
74,M,KW,KuwaIT,MiddleSchool,5,B,IT,F,Father,0.12,0.0,6,13,Bad,0,L,very low,A,
75,M,Jordan,Jordan,MiddleSchool,5,A,Quran,F,Mum,0.5,0.9090909090909091,29,60,Good,0,M,high,D,R
76,M,Iran,Iran,HighSchool,7,A,IT,F,Mum,0.15,0.7070707070707071,37,44,Good,0,M,medium,C,Q
77,M,KW,KuwaIT,HighSchool,7,A,IT,F,Father,0.2,0.8080808080808081,33,33,Good,0,M,low,C,P
78,M,KW,KuwaIT,HighSchool,9,A,Quran,F,Father,0.13,0.030303030303030304,11,9,Bad,1,L,very low,A,
80,M,KW,KuwaIT,MiddleSchool,5,A,Math,F,Father,0.08,0.15151515151515152,10,40,Bad,0,L,low,C,Q
81,M,KW,KuwaIT,lowerlevel,1,A,IT,F,Father,0.08,0.25252525252525254,1,70,Bad,1,L,high,D,S
82,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.07,0.050505050505050504,2,80,Good,1,L,very high,E,T
83,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.07,0.04040404040404041,10,50,Good,1,M,medium,D,Q
84,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.5,0.7070707070707071,50,10,Good,1,H,very low,A,
85,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.01,0.0,1,12,Bad,1,L,very low,A,
86,M,SaudiArabia,SaudiArabia,lowerlevel,1,B,IT,F,Father,0.7,0.12121212121212122,40,50,Good,0,H,medium,D,Q
87,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.19,0.7070707070707071,3,50,Bad,0,L,medium,D,Q
88,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.03,0.12121212121212122,4,33,Bad,0,L,low,C,P
89,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.05,0.20202020202020202,1,50,Good,1,L,medium,D,Q
90,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.04,0.08080808080808081,10,60,Good,1,L,high,D,R
91,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.8,0.9090909090909091,55,19,Good,0,H,very low,B,P
92,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.5,0.7070707070707071,19,15,Good,0,H,very low,A,
93,M,USA,USA,lowerlevel,1,B,IT,F,Father,0.55,0.898989898989899,40,40,Good,0,H,low,C,Q
94,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.8,0.4444444444444444,35,10,Good,1,L,very low,A,
95,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,1.0,0.8080808080808081,2,70,Bad,0,H,high,D,S
96,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.14,0.6060606060606061,11,75,Good,0,H,high,E,S
97,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.06,0.020202020202020204,38,12,Bad,0,M,very low,A,
98,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.1,0.030303030303030304,0,30,Bad,0,M,low,B,P
99,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.5,0.0707070707070707,9,50,Bad,1,M,medium,D,Q
100,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.5,0.9090909090909091,40,90,Bad,0,M,very high,E,T
101,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Mum,0.7,0.9292929292929293,50,7,Good,0,H,very low,A,
102,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.02,0.06060606060606061,2,8,Bad,1,L,very low,A,
103,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.01,0.0707070707070707,6,10,Bad,1,L,very low,A,
104,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.0,0.12121212121212122,3,3,Good,1,M,very low,A,
105,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.0,0.0,5,80,Good,1,L,very high,E,T
106,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.12,0.26262626262626265,7,40,Good,0,M,low,C,Q
107,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.7,0.9090909090909091,41,33,Bad,0,H,low,C,P
108,M,SaudiArabia,SaudiArabia,lowerlevel,1,B,IT,F,Father,0.07,0.12121212121212122,5,3,Bad,1,M,very low,A,
109,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.9,0.7070707070707071,30,14,Bad,0,M,very low,A,
111,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.77,0.8080808080808081,51,80,Good,0,M,very high,E,T
112,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.02,0.050505050505050504,3,50,Bad,1,L,medium,D,Q
113,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.25,0.2727272727272727,0,69,Bad,1,L,high,D,R
114,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.11,0.020202020202020204,0,50,Bad,1,L,medium,D,Q
115,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.0,0.08080808080808081,11,70,Good,1,L,high,D,S
116,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Mum,0.77,0.8080808080808081,12,19,Good,1,M,very low,B,P
117,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Mum,0.25,0.29292929292929293,40,17,Good,0,H,very low,B,
118,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Mum,0.24,0.35353535353535354,23,22,Good,1,M,low,B,P
119,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.6,0.6060606060606061,3,60,Bad,0,M,high,D,R
120,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Mum,0.21,0.12121212121212122,0,50,Good,0,M,medium,D,Q
121,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Mum,0.0,0.04040404040404041,8,30,Bad,1,L,low,B,P
122,F,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.66,0.9090909090909091,55,12,Good,1,M,very low,A,
123,F,lebanon,lebanon,lowerlevel,1,B,IT,F,Father,0.7,0.98989898989899,7,5,Good,0,M,very low,A,
124,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.0,0.06060606060606061,4,15,Bad,0,L,very low,A,
125,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.12,0.30303030303030304,0,17,Good,1,L,very low,B,
126,F,Iran,Iran,lowerlevel,1,C,IT,F,Father,0.02,0.09090909090909091,7,55,Good,0,M,medium,D,Q
127,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.55,0.3333333333333333,6,9,Bad,1,L,very low,A,
128,M,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.12,0.10101010101010101,20,16,Bad,0,L,very low,B,
129,M,KW,KuwaIT,lowerlevel,1,B,IT,F,Father,0.7,0.9090909090909091,2,2,Good,0,L,very low,A,
130,F,KW,KuwaIT,lowerlevel,1,C,IT,F,Father,0.07,0.09090909090909091,5,30,Bad,1,L,low,B,P
131,M,Jordan,Jordan,lowerlevel,1,C,IT,F,Father,0.8,0.42424242424242425,20,50,Good,0,M,medium,D,Q
132,M,KW,KuwaIT,lowerlevel,1,C,IT,S,Father,0.0,0.030303030303030304,10,3,Bad,1,L,very low,A,
133,M,KW,KuwaIT,lowerlevel,1,A,IT,S,Father,0.12,0.6060606060606061,0,70,Good,1,L,high,D,S
134,M,KW,KuwaIT,MiddleSchool,5,A,Quran,S,Father,0.8,0.8080808080808081,15,70,Good,0,H,high,D,S
136,F,KW,USA,HighSchool,9,A,Quran,S,Mum,0.7,0.8080808080808081,95,70,Good,0,H,high,D,S
137,F,KW,USA,HighSchool,9,A,Quran,F,Mum,0.6,0.8080808080808081,50,40,Bad,0,M,low,C,Q
138,F,Jordan,Egypt,MiddleSchool,5,A,Quran,F,Mum,1.0,0.8080808080808081,95,90,Bad,0,H,very high,E,T
139,M,Jordan,USA,MiddleSchool,5,A,Quran,F,Mum,1.0,0.8585858585858586,85,70,Bad,0,M,high,D,S
140,M,Tunis,Tunis,MiddleSchool,5,A,Quran,F,Father,0.1,0.6060606060606061,5,20,Bad,1,L,very low,B,P
141,M,Tunis,Tunis,MiddleSchool,5,A,Quran,S,Father,0.19,0.6565656565656566,50,10,Bad,1,L,very low,A,
142,M,Tunis,Tunis,MiddleSchool,5,A,Quran,S,Father,0.1,0.7575757575757576,55,11,Good,0,M,very low,A,
143,M,KW,KuwaIT,MiddleSchool,5,A,Quran,S,Father,0.8,0.9090909090909091,55,19,Good,0,H,very low,B,P
144,M,KW,KuwaIT,MiddleSchool,5,A,Quran,S,Father,0.1,0.10101010101010101,15,19,Bad,1,L,very low,B,P
145,M,Tunis,SaudiArabia,MiddleSchool,5,A,Quran,S,Father,0.7,0.7575757575757576,55,11,Bad,0,M,very low,A,
146,F,lebanon,lebanon,MiddleSchool,5,A,Quran,S,Mum,1.0,0.7575757575757576,50,70,Good,0,H,high,D,S
147,F,lebanon,lebanon,MiddleSchool,5,A,Quran,S,Father,0.1,0.797979797979798,30,30,Bad,0,M,low,B,P
148,F,Jordan,Jordan,MiddleSchool,5,A,Quran,S,Father,0.6,0.5555555555555556,30,40,Bad,0,M,low,C,Q
149,F,Jordan,lebanon,MiddleSchool,5,A,Quran,S,Mum,1.0,0.7575757575757576,50,70,Bad,0,H,high,D,S
150,M,SaudiArabia,SaudiArabia,HighSchool,9,A,Quran,S,Father,0.8,0.8080808080808081,51,59,Good,0,H,medium,D,R
151,M,SaudiArabia,USA,HighSchool,9,A,Science,S,Father,0.23,0.6363636363636364,71,89,Good,0,M,very high,E,T
152,F,SaudiArabia,USA,HighSchool,9,B,Science,S,Father,1.0,0.9191919191919192,98,40,Bad,0,H,low,C,Q
153,M,SaudiArabia,USA,HighSchool,9,B,Spanish,S,Father,0.1,0.5151515151515151,40,40,Bad,1,L,low,C,Q
154,M,SaudiArabia,USA,HighSchool,9,B,English,S,Father,0.7,0.5050505050505051,33,41,Bad,1,M,medium,C,Q
155,M,SaudiArabia,USA,HighSchool,9,B,Math,S,Father,0.7,0.5858585858585859,73,91,Bad,0,H,very high,E,T
156,F,Tunis,USA,HighSchool,9,B,French,S,Father,0.7,0.5050505050505051,30,49,Good,0,M,medium,C,Q
157,M,Tunis,Tunis,HighSchool,9,B,Science,S,Father,0.7,0.5050505050505051,33,40,Good,0,M,low,C,Q
158,M,Tunis,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.22,0.5151515151515151,48,10,Bad,1,L,very low,A,
159,F,KW,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.62,0.6868686868686869,48,80,Good,0,M,very high,E,T
160,F,Jordan,Jordan,MiddleSchool,5,B,Science,S,Mum,0.82,0.898989898989899,58,50,Good,0,H,medium,D,Q
161,M,Jordan,Jordan,MiddleSchool,5,B,Science,S,Mum,0.72,0.8080808080808081,58,66,Bad,0,M,high,D,R
162,F,Jordan,Jordan,lowerlevel,1,B,French,S,Mum,0.7,0.8282828282828283,3,73,Bad,0,H,high,E,S
163,F,Jordan,USA,lowerlevel,1,B,French,S,Mum,0.6,0.8282828282828283,93,43,Bad,1,M,medium,C,Q
164,M,Jordan,Jordan,lowerlevel,1,B,French,S,Mum,0.55,0.7272727272727273,83,14,Good,1,M,very low,A,
165,F,Morocco,Morocco,lowerlevel,1,B,French,S,Mum,0.72,0.6565656565656566,73,66,Good,0,H,high,D,R
166,M,KW,KuwaIT,lowerlevel,1,B,French,S,Mum,0.51,0.8282828282828283,53,43,Bad,0,M,medium,C,Q
