,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,StudentAbsenceDays,Class,Discussion-Equal-Width-Bin,Discussion-Equal-Frequency-Bin,Discussion-Custom-Binning
167,M,Tunis,Tunis,lowerlevel,1,B,French,S,Mum,0.8,0.9292929292929293,83,43,Good,0,H,medium,C,Q
168,M,KW,KuwaIT,lowerlevel,1,B,French,S,Mum,0.6,0.5252525252525253,23,33,Good,0,H,low,C,P
169,M,KW,KuwaIT,lowerlevel,1,B,French,S,Mum,0.3,0.12121212121212122,29,23,Bad,0,M,low,B,P
171,M,KW,KuwaIT,lowerlevel,1,B,French,S,Mum,0.6,0.5252525252525253,23,33,Good,0,M,low,C,P
172,M,Iran,Iran,lowerlevel,1,B,French,S,Mum,0.2,0.2222222222222222,53,13,Good,1,L,very low,A,
173,M,Syria,Syria,lowerlevel,1,B,French,S,Mum,0.2,0.5252525252525253,23,33,Good,1,L,low,C,P
174,F,Jordan,Jordan,lowerlevel,1,B,French,S,Father,0.5,0.6262626262626263,73,43,Bad,1,M,medium,C,Q
175,M,Iran,Iran,lowerlevel,1,B,French,S,Father,0.1,0.020202020202020204,13,53,Bad,1,L,medium,D,Q
176,M,Tunis,Tunis,lowerlevel,1,B,French,S,Mum,0.6,0.5252525252525253,23,33,Bad,0,H,low,C,P
177,F,USA,USA,lowerlevel,1,B,French,S,Mum,0.15,0.5252525252525253,83,11,Bad,0,M,very low,A,
178,F,lebanon,lebanon,lowerlevel,1,B,French,S,Mum,0.8,0.42424242424242425,33,13,Bad,0,H,very low,A,
179,M,lebanon,lebanon,lowerlevel,1,B,French,S,Mum,0.4,0.5151515151515151,20,33,Bad,0,M,low,C,P
180,F,SaudiArabia,SaudiArabia,lowerlevel,1,B,French,S,Father,0.6,0.7070707070707071,63,93,Bad,0,H,very high,E,T
181,M,Jordan,Jordan,lowerlevel,1,B,French,S,Father,0.5,0.6262626262626263,13,33,Bad,1,L,low,C,P
182,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,S,Mum,0.85,0.7575757575757576,62,53,Bad,0,H,medium,D,Q
183,F,lebanon,lebanon,MiddleSchool,6,A,Arabic,S,Father,0.25,0.15151515151515152,32,53,Bad,0,M,medium,D,Q
184,M,lebanon,lebanon,MiddleSchool,6,A,Arabic,S,Mum,0.1,0.35353535353535354,30,13,Bad,1,L,very low,A,
185,M,lebanon,Jordan,MiddleSchool,6,A,Arabic,S,Mum,0.87,0.6565656565656566,82,33,Good,0,H,low,C,P
186,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,S,Mum,0.85,0.15151515151515152,22,53,Good,0,M,medium,D,Q
187,F,KW,KuwaIT,MiddleSchool,6,A,Arabic,S,Father,0.8,0.7171717171717171,52,51,Good,0,M,medium,D,Q
188,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,S,Mum,0.75,0.7171717171717171,72,53,Good,0,H,medium,D,Q
189,F,KW,KuwaIT,MiddleSchool,6,A,Arabic,S,Father,0.85,0.6666666666666666,12,23,Bad,0,M,low,B,P
190,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,S,Father,0.23,0.25252525252525254,32,53,Bad,0,L,medium,D,Q
191,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,S,Father,0.15,0.25252525252525254,37,13,Good,1,L,very low,A,
192,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,S,Mum,0.95,0.9191919191919192,62,53,Good,0,M,medium,D,Q
193,M,Morocco,Morocco,MiddleSchool,6,A,Arabic,S,Mum,0.81,0.7575757575757576,62,53,Bad,0,M,medium,D,Q
194,M,Morocco,Morocco,MiddleSchool,6,A,Arabic,S,Mum,0.53,0.7575757575757576,72,23,Bad,0,M,low,B,P
195,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,S,Father,0.15,0.43434343434343436,42,33,Good,0,M,low,C,P
196,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,S,Mum,0.92,0.6565656565656566,62,53,Good,0,H,medium,D,Q
197,M,KW,KuwaIT,MiddleSchool,6,A,Arabic,S,Mum,0.83,0.7575757575757576,62,53,Bad,0,H,medium,D,Q
198,M,Morocco,Morocco,MiddleSchool,6,B,Arabic,S,Father,0.27,0.15151515151515152,42,53,Bad,1,L,medium,D,Q
199,M,KW,KuwaIT,MiddleSchool,6,B,Arabic,S,Father,0.45,0.9595959595959596,12,13,Bad,0,M,very low,A,
200,M,KW,KuwaIT,MiddleSchool,6,B,Arabic,S,Mum,0.15,0.9090909090909091,52,83,Bad,0,H,very high,E,T
201,F,lebanon,lebanon,MiddleSchool,6,A,Arabic,S,Mum,0.45,0.5858585858585859,52,43,Good,0,H,medium,C,Q
202,M,KW,KuwaIT,MiddleSchool,6,B,Arabic,S,Father,0.25,0.050505050505050504,12,33,Good,0,M,low,C,P
203,F,KW,KuwaIT,MiddleSchool,6,B,Arabic,S,Father,0.22,0.5151515151515151,42,40,Bad,0,M,low,C,Q
204,M,Jordan,Jordan,MiddleSchool,6,B,Arabic,S,Father,0.29,0.10101010101010101,12,24,Bad,1,L,low,B,P
205,F,SaudiArabia,SaudiArabia,MiddleSchool,6,B,Arabic,S,Mum,0.72,0.5151515151515151,42,24,Bad,1,H,low,B,P
206,M,KW,KuwaIT,MiddleSchool,6,B,Arabic,S,Father,0.67,0.31313131313131315,42,14,Good,0,M,very low,A,
207,M,KW,KuwaIT,MiddleSchool,6,C,Spanish,S,Father,0.17,0.21212121212121213,42,14,Good,0,M,very low,A,
208,M,Tunis,Tunis,MiddleSchool,6,C,Spanish,S,Mum,0.27,0.41414141414141414,49,14,Bad,0,M,very low,A,
209,M,KW,KuwaIT,MiddleSchool,6,C,Spanish,S,Father,0.7,0.8181818181818182,39,84,Bad,0,M,very high,E,T
210,M,Jordan,SaudiArabia,MiddleSchool,6,C,Spanish,S,Mum,0.27,0.9090909090909091,82,14,Good,0,H,very low,A,
211,M,KW,KuwaIT,MiddleSchool,6,C,Spanish,S,Father,0.17,0.6161616161616161,42,14,Bad,0,M,very low,A,
212,M,Tunis,Tunis,MiddleSchool,6,C,Spanish,S,Mum,0.87,0.8181818181818182,42,19,Good,0,H,very low,B,P
213,M,Tunis,Tunis,MiddleSchool,6,C,Spanish,S,Father,0.07,0.6161616161616161,22,14,Bad,1,L,very low,A,
214,M,KW,KuwaIT,MiddleSchool,6,C,Spanish,S,Father,0.17,0.5050505050505051,2,4,Bad,1,L,very low,A,
215,M,KW,KuwaIT,MiddleSchool,6,C,Spanish,S,Father,0.05,0.21212121212121213,42,14,Good,1,L,very low,A,
216,M,Iran,Iran,MiddleSchool,6,C,Spanish,S,Mum,0.27,0.41414141414141414,32,61,Bad,1,M,high,D,R
217,F,Jordan,KuwaIT,MiddleSchool,6,C,Spanish,S,Father,0.87,0.8888888888888888,40,10,Good,0,M,very low,A,
218,M,KW,KuwaIT,MiddleSchool,6,C,Spanish,S,Mum,0.96,0.6161616161616161,42,94,Bad,0,H,very high,E,
219,M,KW,KuwaIT,MiddleSchool,6,C,Spanish,S,Mum,0.57,0.5151515151515151,46,34,Good,0,M,low,C,P
220,M,lebanon,lebanon,MiddleSchool,6,C,Spanish,S,Father,0.77,0.696969696969697,41,13,Good,0,M,very low,A,
221,M,lebanon,lebanon,MiddleSchool,6,C,Spanish,S,Father,0.8,0.5151515151515151,40,24,Good,0,M,low,B,P
222,M,KW,KuwaIT,MiddleSchool,6,B,Spanish,S,Father,0.62,0.6161616161616161,82,40,Bad,0,M,low,C,Q
223,M,KW,KuwaIT,MiddleSchool,6,A,Spanish,S,Mum,0.72,0.8383838383838383,12,90,Good,0,H,very high,E,T
224,M,KW,KuwaIT,MiddleSchool,6,B,Spanish,S,Mum,0.87,0.8181818181818182,22,70,Bad,0,H,high,D,S
225,M,KW,KuwaIT,MiddleSchool,6,A,Spanish,S,Mum,0.72,0.9090909090909091,12,30,Bad,0,M,low,B,P
226,M,KW,KuwaIT,MiddleSchool,6,B,Spanish,S,Father,0.02,0.1111111111111111,62,30,Bad,0,L,low,B,P
227,M,KW,KuwaIT,MiddleSchool,6,A,Spanish,S,Father,0.05,0.030303030303030304,2,10,Good,0,L,very low,A,
228,M,KW,KuwaIT,HighSchool,9,B,Math,S,Mum,0.73,0.8484848484848485,77,81,Good,1,H,very high,E,T
229,M,KW,KuwaIT,MiddleSchool,6,A,Spanish,S,Father,0.05,0.1717171717171717,21,10,Bad,1,L,very low,A,
230,M,Iran,Iran,MiddleSchool,6,A,Spanish,S,Mum,0.51,0.42424242424242425,12,29,Bad,1,M,low,B,P
231,M,Syria,Jordan,MiddleSchool,6,A,Spanish,S,Father,0.09,0.0707070707070707,21,20,Good,1,L,very low,B,P
232,M,Syria,Syria,MiddleSchool,5,A,Quran,F,Father,0.19,0.7272727272727273,15,50,Good,1,M,medium,D,Q
233,F,Jordan,Jordan,MiddleSchool,5,B,Science,S,Mum,0.32,0.8080808080808081,58,46,Good,1,M,medium,C,Q
234,M,KW,KuwaIT,MiddleSchool,5,B,Science,S,Mum,0.32,0.6060606060606061,58,66,Good,1,M,high,D,R
235,M,KW,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.12,0.08080808080808081,18,26,Bad,1,L,low,B,P
236,M,Jordan,Jordan,MiddleSchool,5,B,Science,S,Father,0.52,0.10101010101010101,13,6,Bad,1,L,very low,A,
237,M,KW,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.72,0.8080808080808081,58,66,Good,1,M,high,D,R
238,F,KW,KuwaIT,MiddleSchool,5,B,Science,S,Mum,0.72,0.8080808080808081,58,66,Good,1,M,high,D,R
239,M,Egypt,Egypt,MiddleSchool,5,B,Science,S,Mum,0.92,0.8080808080808081,88,76,Good,0,H,high,E,T
240,M,KW,KuwaIT,MiddleSchool,5,B,Science,S,Mum,0.72,0.8080808080808081,98,96,Bad,0,H,very high,E,
241,M,Egypt,Egypt,MiddleSchool,5,B,Science,S,Father,0.72,0.8080808080808081,58,86,Good,0,M,very high,E,T
242,M,KW,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.22,0.20202020202020202,18,6,Bad,1,L,very low,A,
243,M,Egypt,KuwaIT,MiddleSchool,5,B,Science,S,Father,0.12,0.20202020202020202,38,46,Bad,1,M,medium,C,Q
244,M,KW,KuwaIT,MiddleSchool,5,B,IT,S,Mum,0.7,0.9292929292929293,83,85,Bad,0,H,very high,E,T
245,F,KW,KuwaIT,MiddleSchool,4,A,IT,S,Father,0.5,0.40404040404040403,52,66,Bad,0,M,high,D,R
246,F,KW,KuwaIT,MiddleSchool,4,A,Science,S,Father,0.8,0.9494949494949495,62,77,Good,0,H,high,E,T
247,F,KW,KuwaIT,MiddleSchool,4,A,Math,S,Father,0.87,0.48484848484848486,82,96,Bad,1,M,very high,E,
248,F,KW,KuwaIT,MiddleSchool,4,A,Quran,S,Father,0.7,0.40404040404040403,2,16,Bad,1,L,very low,B,
249,M,KW,KuwaIT,lowerlevel,2,A,IT,S,Father,0.65,0.8686868686868687,62,40,Good,1,M,low,C,Q
250,M,KW,KuwaIT,lowerlevel,2,A,Math,S,Father,0.15,0.06060606060606061,32,40,Good,0,H,low,C,Q
251,M,Egypt,Egypt,lowerlevel,2,A,English,S,Mum,0.19,0.7474747474747475,32,17,Good,1,L,very low,B,
252,F,KW,KuwaIT,lowerlevel,2,A,Science,S,Father,0.69,0.7676767676767676,82,94,Bad,0,M,very high,E,
253,M,KW,KuwaIT,lowerlevel,2,A,Arabic,S,Father,0.39,0.26262626262626265,12,44,Bad,1,L,medium,C,Q
254,M,KW,KuwaIT,lowerlevel,2,A,English,S,Father,0.59,0.9797979797979798,42,70,Good,0,H,high,D,S
255,M,KW,KuwaIT,lowerlevel,2,A,History,S,Father,0.1,0.1717171717171717,12,40,Good,0,H,low,C,Q
256,F,KW,KuwaIT,lowerlevel,2,A,History,S,Mum,0.8,0.8787878787878788,72,60,Good,0,H,high,D,R
257,F,KW,KuwaIT,lowerlevel,2,A,History,S,Father,0.7,1.0,66,65,Good,0,M,high,D,R
258,F,KW,KuwaIT,lowerlevel,2,A,History,S,Father,0.8,0.9797979797979798,86,95,Good,0,M,very high,E,
259,M,KW,KuwaIT,lowerlevel,2,A,English,S,Mum,0.69,0.3434343434343434,12,17,Bad,1,L,very low,B,
260,M,KW,KuwaIT,lowerlevel,2,A,History,S,Father,0.1,0.1717171717171717,12,14,Bad,1,L,very low,A,
261,M,KW,KuwaIT,lowerlevel,2,A,History,S,Father,0.61,0.9797979797979798,82,64,Bad,1,M,high,D,R
262,F,KW,KuwaIT,lowerlevel,2,A,History,S,Mum,0.21,0.2727272727272727,52,34,Good,1,M,low,C,P
263,M,Egypt,Egypt,lowerlevel,2,A,Math,S,Mum,0.49,0.9494949494949495,42,7,Bad,1,M,very low,A,
264,F,Jordan,Jordan,MiddleSchool,4,A,English,F,Mum,0.7,0.6464646464646465,42,32,Bad,0,M,low,C,P
265,F,Jordan,Jordan,MiddleSchool,4,A,English,S,Mum,0.79,0.8484848484848485,82,37,Bad,0,H,low,C,Q
266,M,Jordan,Jordan,MiddleSchool,4,A,English,F,Father,0.19,0.8080808080808081,12,17,Good,1,M,very low,B,
267,M,Jordan,Jordan,MiddleSchool,4,A,English,S,Father,0.11,0.7070707070707071,32,29,Good,1,M,low,B,P
268,M,Jordan,Jordan,MiddleSchool,4,A,English,F,Father,0.1,0.08080808080808081,10,10,Bad,1,M,very low,A,
269,M,Jordan,Jordan,MiddleSchool,4,A,English,S,Father,0.18,0.2828282828282828,40,20,Bad,1,M,very low,B,P
270,F,Jordan,Jordan,MiddleSchool,4,A,English,F,Mum,0.9,0.8484848484848485,52,30,Good,0,H,low,B,P
271,F,Jordan,Jordan,MiddleSchool,4,A,English,S,Mum,0.92,0.8181818181818182,32,36,Good,0,M,low,C,P
272,M,Jordan,Jordan,MiddleSchool,4,A,English,F,Father,0.42,0.21212121212121213,2,16,Bad,0,M,very low,B,
273,M,Jordan,Jordan,MiddleSchool,4,A,English,S,Father,0.22,0.20202020202020202,6,26,Bad,0,H,low,B,P
274,F,lebanon,lebanon,MiddleSchool,4,A,English,F,Mum,0.95,0.8282828282828283,82,70,Good,0,H,high,D,S
275,F,lebanon,lebanon,MiddleSchool,4,A,English,S,Mum,0.9,0.6262626262626263,80,60,Good,0,H,high,D,R
276,M,Palestine,Jordan,MiddleSchool,4,A,English,F,Mum,0.72,0.21212121212121213,22,26,Good,0,H,low,B,P
277,M,Palestine,Jordan,MiddleSchool,4,A,English,S,Mum,0.92,0.31313131313131315,42,27,Good,0,H,low,B,P
278,M,Palestine,Jordan,MiddleSchool,4,A,English,F,Mum,0.82,0.31313131313131315,52,25,Good,0,M,low,B,P
279,M,Palestine,Jordan,MiddleSchool,4,A,English,S,Mum,0.72,0.41414141414141414,46,27,Good,0,M,low,B,P
280,M,Iraq,Iraq,MiddleSchool,4,A,English,F,Mum,0.74,0.7171717171717171,56,37,Good,0,H,low,C,Q
281,M,Iraq,Iraq,MiddleSchool,4,A,English,S,Mum,0.74,0.6060606060606061,56,37,Good,0,H,low,C,Q
282,F,Jordan,Jordan,MiddleSchool,4,A,English,F,Mum,0.95,0.9494949494949495,72,80,Good,0,H,very high,E,T
283,F,Jordan,Jordan,MiddleSchool,4,A,English,S,Mum,0.97,0.8787878787878788,82,86,Good,0,H,very high,E,T
284,M,Jordan,Jordan,MiddleSchool,4,A,English,F,Father,0.4,0.3838383838383838,32,36,Bad,1,M,low,C,P
285,M,Jordan,Jordan,MiddleSchool,4,A,English,S,Father,0.41,0.3939393939393939,35,39,Bad,1,M,low,C,Q
286,F,Jordan,Jordan,MiddleSchool,4,A,English,F,Mum,0.51,0.797979797979798,85,89,Good,0,H,very high,E,T
287,F,Jordan,Jordan,MiddleSchool,4,A,English,S,Mum,0.81,0.797979797979798,91,85,Good,0,H,very high,E,T
288,M,Palestine,Jordan,MiddleSchool,4,A,English,F,Mum,0.71,0.7070707070707071,65,69,Good,0,M,high,D,R
289,M,Palestine,Jordan,MiddleSchool,4,A,English,F,Mum,0.75,0.7171717171717171,76,80,Good,0,M,very high,E,T
290,F,Jordan,Jordan,lowerlevel,2,A,Science,F,Father,0.49,0.36363636363636365,32,44,Bad,1,L,medium,C,Q
291,F,Jordan,Jordan,lowerlevel,2,A,Science,S,Father,0.42,0.24242424242424243,12,24,Bad,1,L,low,B,P
292,F,Palestine,Palestine,lowerlevel,2,A,Science,F,Mum,0.9,0.8686868686868687,82,74,Good,0,H,high,E,S
293,F,Palestine,Palestine,lowerlevel,2,A,Science,S,Mum,0.62,0.6464646464646465,72,84,Good,0,H,very high,E,T
294,M,Iraq,Iraq,lowerlevel,2,A,Science,F,Father,0.9,0.8686868686868687,82,74,Good,1,M,high,E,S
295,M,Iraq,Iraq,lowerlevel,2,A,Science,S,Father,0.62,0.6464646464646465,72,84,Good,1,M,very high,E,T
296,F,Jordan,Jordan,lowerlevel,2,A,Science,F,Mum,0.98,0.8787878787878788,86,84,Good,0,H,very high,E,T
297,F,Jordan,Jordan,lowerlevel,2,A,Science,S,Mum,0.72,0.7474747474747475,82,89,Good,0,H,very high,E,T
298,M,Jordan,Jordan,lowerlevel,2,A,Science,F,Father,0.18,0.1717171717171717,26,34,Good,1,M,low,C,P
299,M,Jordan,Jordan,lowerlevel,2,A,Science,S,Father,0.32,0.1414141414141414,32,29,Good,1,M,low,B,P
300,M,Jordan,Jordan,lowerlevel,2,A,Science,F,Father,0.1,0.12121212121212122,20,13,Bad,1,L,very low,A,
301,M,Jordan,Jordan,lowerlevel,2,A,Science,S,Father,0.22,0.3434343434343434,15,9,Bad,1,L,very low,A,
302,F,Jordan,Jordan,lowerlevel,2,B,Science,F,Mum,0.11,0.20202020202020202,21,23,Bad,0,M,low,B,P
303,F,Jordan,Jordan,lowerlevel,2,B,Science,S,Mum,0.12,0.4444444444444444,25,39,Bad,0,M,low,C,Q
304,F,Jordan,Jordan,lowerlevel,2,B,Science,F,Father,0.15,0.5050505050505051,24,43,Bad,0,M,medium,C,Q
305,F,Jordan,Jordan,lowerlevel,2,B,Science,S,Father,0.32,0.4444444444444444,29,89,Bad,0,M,very high,E,T
306,M,Jordan,Jordan,lowerlevel,2,B,Science,F,Mum,0.65,0.5959595959595959,74,83,Good,0,H,very high,E,T
307,M,Jordan,Jordan,lowerlevel,2,B,Science,S,Mum,0.72,0.6464646464646465,59,89,Good,0,H,very high,E,T
308,M,Palestine,Jordan,lowerlevel,2,B,Science,F,Mum,0.95,0.5757575757575758,74,89,Good,1,M,very high,E,T
309,M,Palestine,Jordan,lowerlevel,2,B,Science,S,Mum,0.82,0.8484848484848485,79,79,Good,1,M,high,E,T
310,M,Jordan,Jordan,lowerlevel,2,B,Science,F,Father,0.25,0.29292929292929293,34,33,Good,1,M,low,C,P
311,M,Jordan,Jordan,lowerlevel,2,B,Science,S,Father,0.42,0.3434343434343434,29,39,Good,1,M,low,C,Q
312,F,Jordan,Jordan,lowerlevel,2,B,Science,F,Mum,0.55,0.797979797979798,44,43,Good,0,H,medium,C,Q
313,F,Jordan,Jordan,lowerlevel,2,B,Science,S,Mum,0.62,0.6464646464646465,69,49,Good,0,H,medium,C,Q
314,F,Jordan,lebanon,lowerlevel,2,B,Science,F,Mum,0.78,0.8888888888888888,74,83,Good,0,H,very high,E,T
315,F,Jordan,lebanon,lowerlevel,2,B,Science,S,Mum,0.72,0.8484848484848485,89,89,Good,0,H,very high,E,T
316,M,Jordan,Jordan,lowerlevel,1,A,French,F,Mum,0.46831196581196577,0.9292929292929293,83,23,Good,0,H,low,B,P
318,F,Jordan,Jordan,lowerlevel,1,A,French,F,Mum,0.6,0.9797979797979798,13,3,Good,0,H,very low,A,
319,F,Jordan,Jordan,lowerlevel,1,A,French,S,Mum,0.5,0.9595959595959596,23,10,Good,0,H,very low,A,
320,F,Jordan,Jordan,lowerlevel,1,A,French,F,Mum,0.6,0.8787878787878788,23,11,Good,1,M,very low,A,
322,M,Jordan,Jordan,lowerlevel,1,A,French,F,Father,0.1,0.15151515151515152,10,21,Bad,1,L,low,B,P
323,M,Jordan,Jordan,lowerlevel,1,A,French,S,Father,0.3,0.10101010101010101,20,5,Bad,1,L,very low,A,
324,M,Syria,Syria,lowerlevel,1,A,French,F,Father,0.24,0.35353535353535354,18,31,Bad,0,M,low,C,P
